N,e_tauit
3.0,0.05250917946077163
4.0,0.027302121012160466
5.0,0.028620232695243587
6.0,0.029432039422810002
7.0,0.032324304420137145
8.0,0.03294565655813169
9.0,0.0375966993162535
10.0,0.03626640186795322
11.0,0.03520007071158991
12.0,0.03211711604571656
13.0,0.043809511783874065
14.0,0.031694734914224434
15.0,0.031529082318767006
16.0,0.031391485171822664
17.0,0.024013523716600274
18.0,0.02327231849820753
19.0,0.0229289968339257
20.0,0.009767406912686225
21.0,0.010373004255013817
22.0,0.010602073330657573
23.0,0.010614110835320304
24.0,0.010542807605637205
25.0,0.01085412455588519
26.0,0.010608452632570039
27.0,0.0101618550639808
28.0,0.009284874686982053
29.0,0.005425458826684141
30.0,0.00542444884346547
31.0,0.005333889276502752
32.0,0.005280572758581571
33.0,0.005082935514524889
34.0,0.0050603760572563794
35.0,0.0046502780541173
36.0,0.0031501505360067694
37.0,0.003111809453662558
38.0,0.0030927132870661924
39.0,0.003093059021092057
40.0,0.0030826283717566095
41.0,0.003295911443701225
42.0,0.0032418230212817064
43.0,0.003232357604006371
44.0,0.003294540998502934
45.0,0.003293218704311591
46.0,0.0032919879229579615
47.0,0.0032925145980158537
48.0,0.0032887004653654
49.0,0.0009785595825460823
50.0,0.0010186310944297482
51.0,0.0010141385671296125
52.0,0.0010131748061480623
53.0,0.0010042890778428181
54.0,0.0006560089624041189
55.0,0.0005803218979750867
56.0,0.000512906482447592
57.0,0.0005139716431247581
58.0,0.0004952222008941637
59.0,0.0004713581980256594
60.0,0.0004667342688097526
61.0,0.00046676131331165255
62.0,0.00046654744136371575
63.0,0.00046651752394933244
64.0,0.0004643183503026835
65.0,0.0004625573032949085
66.0,0.0004576218103534506
67.0,0.0004554109550911559
68.0,0.0004554141630480985
69.0,0.000455338658786658
70.0,0.00044801164852997663
71.0,0.0004479807441963013
72.0,0.00044594292624614565
73.0,0.0004459811158239587
74.0,0.00044596844268570605
75.0,0.0004459018217003163
76.0,8.411079630652313e-5
77.0,8.391883901111883e-5
78.0,8.304473609681725e-5
79.0,8.292280546857242e-5
80.0,8.292410861536392e-5
81.0,8.283434698365534e-5
82.0,7.915262399258515e-5
83.0,7.915015825971111e-5
84.0,7.914873974433876e-5
85.0,7.911241028388896e-5
86.0,7.905650972282915e-5
87.0,7.814398003739451e-5
88.0,7.768381952059358e-5
89.0,7.767408974327785e-5
90.0,7.429180227113596e-5
91.0,7.426663746680144e-5
92.0,7.426520035343556e-5
93.0,7.426843378126173e-5
94.0,7.204491694563531e-5
95.0,7.203978433320687e-5
96.0,7.203803789924745e-5
97.0,6.616634720488431e-5
98.0,6.615444660400525e-5
99.0,6.614614186646938e-5
100.0,6.611469445086977e-5
101.0,6.610536973092574e-5
102.0,6.610399334092299e-5
103.0,6.608343229088612e-5
104.0,6.608425090280454e-5
105.0,6.59411940032974e-5
106.0,6.593481480387846e-5
107.0,6.59504152324851e-5
108.0,6.590459202949913e-5
109.0,6.584006219564301e-5
110.0,6.581269839180076e-5
111.0,6.58142077812912e-5
112.0,6.261061427501742e-5
113.0,6.260764564431105e-5
114.0,6.20830337901506e-5
115.0,6.208432598231753e-5
116.0,6.072136388680975e-5
117.0,5.9650924653482694e-5
118.0,5.965341142022949e-5
119.0,5.9659006942330614e-5
120.0,5.954714939016793e-5
121.0,5.7725814571850754e-5
122.0,5.7731300799486075e-5
123.0,5.77245315450722e-5
124.0,5.7706196416803116e-5
125.0,5.770114221800653e-5
126.0,5.7703027330316016e-5
127.0,5.7699213438596256e-5
128.0,5.769350143923582e-5
129.0,5.769374285079096e-5
130.0,5.769096427300041e-5
131.0,5.736062374895063e-5
132.0,5.73599634389105e-5
133.0,5.7305954360630095e-5
134.0,5.730548807986529e-5
135.0,5.731005268990014e-5
136.0,5.731361613165282e-5
137.0,5.7310115192263475e-5
138.0,5.7291009943166235e-5
139.0,5.7294667258260625e-5
140.0,5.729134528058979e-5
141.0,5.7287029311762424e-5
142.0,5.7284869308455904e-5
143.0,5.7280407134528504e-5
144.0,5.728146663305519e-5
145.0,5.724919674895825e-5
146.0,5.724443314265532e-5
147.0,5.7247926006171633e-5
148.0,5.724508142272215e-5
149.0,5.724910933368432e-5
150.0,5.7244854811961066e-5
151.0,5.724510557663747e-5
152.0,5.7241606128593615e-5
153.0,5.724565157614333e-5
154.0,5.724611586998518e-5
155.0,5.724439229976429e-5
156.0,5.7245455860753136e-5
157.0,5.724922400044491e-5
158.0,5.674378903187764e-5
159.0,5.673943707130048e-5
160.0,5.673804418287183e-5
161.0,5.6737973099979436e-5
162.0,5.673936001067177e-5
163.0,5.674101421605211e-5
164.0,5.673419728102256e-5
165.0,5.6733579549065063e-5
166.0,5.673443851578956e-5
167.0,5.673317353788771e-5
168.0,5.67341406157548e-5
169.0,5.673581116254927e-5
170.0,5.673554829997151e-5
171.0,5.673556334570718e-5
172.0,5.673499723975656e-5
173.0,5.67363181754449e-5
174.0,5.671504027664592e-5
175.0,5.671354975075846e-5
176.0,5.6711941216399104e-5
177.0,5.671362387605353e-5
178.0,5.6714229851308017e-5
179.0,5.6713223393040954e-5
180.0,5.671337652446962e-5
181.0,5.65389455519059e-5
182.0,5.653842069323704e-5
183.0,5.6540367329836454e-5
184.0,5.654150433290416e-5
185.0,5.65402931732352e-5
186.0,5.654216900043298e-5
187.0,5.654084843043362e-5
188.0,5.654042735444138e-5
189.0,5.654028526086225e-5
190.0,5.653860296839847e-5
191.0,5.653741812401119e-5
192.0,5.65381560573555e-5
193.0,5.653750757679194e-5
194.0,5.653818874249922e-5
195.0,5.65400146374573e-5
196.0,5.653896200909024e-5
197.0,5.654034405464886e-5
198.0,5.65396594009059e-5
199.0,5.653839621759432e-5
